,Idade,Salario_anual,Situacao_prop,Tempo_trabalho,Motivo_emprest,Pont_emprest,Total_emprest,Tx_juros,Possib_inadimp,Renda_pecentual,Periodo,Inadimplente
2974,23.0,68000.0,Mortgage,7.0,Venture,A,12000.0,7.51,0.0,0.18,3,N
2975,38.0,71000.0,Rent,14.0,Medical,B,15000.0,8.88,0.0,0.21,15,N
2976,31.0,56000.0,Rent,15.0,Homeimprovement,C,3000.0,14.27,0.0,0.05,5,Y
2977,34.0,64000.0,Mortgage,2.0,Education,A,9000.0,6.92,0.0,0.14,6,N
2978,26.0,30000.0,Rent,1.0,Debtconsolidation,C,3000.0,13.49,0.0,0.1,4,N
2979,29.0,60000.0,Mortgage,0.0,Education,B,2400.0,10.75,0.0,0.04,9,N
2980,26.0,21600.0,Rent,9.0,Venture,B,7200.0,10.38,1.0,0.33,3,N
2981,26.0,32352.0,Rent,0.0,Venture,D,5000.0,14.84,1.0,0.15,4,N
2982,21.0,68000.0,Rent,4.0,Education,B,18000.0,10.65,0.0,0.26,2,N
2983,24.0,78500.0,Mortgage,8.0,Venture,A,6000.0,7.49,0.0,0.08,4,N
2984,24.0,37500.0,Rent,2.0,Debtconsolidation,C,1600.0,11.03,0.0,0.04,3,Y
2985,23.0,58800.0,Rent,7.0,Education,B,3000.0,10.36,1.0,0.05,3,N
2986,23.0,75000.0,Mortgage,0.0,Education,A,3200.0,8.0,0.0,0.04,3,N
2987,27.0,111000.0,Rent,11.0,Personal,A,28000.0,7.9,0.0,0.25,8,N
2988,22.0,43200.0,Mortgage,7.0,Personal,A,11000.0,5.42,0.0,0.25,2,N
2989,30.0,58000.0,Rent,2.0,Medical,A,15000.0,8.49,0.0,0.26,10,N
2990,22.0,48000.0,Rent,0.0,Personal,C,3000.0,14.79,0.0,0.06,2,N
2991,21.0,44000.0,Rent,6.0,Education,D,8000.0,15.21,1.0,0.18,2,N
2992,24.0,60000.0,Rent,4.0,Medical,A,10000.0,6.54,0.0,0.17,2,N
2993,24.0,35000.0,Rent,9.0,Education,A,1500.0,11.0,0.0,0.04,3,N
2994,24.0,425000.0,Mortgage,8.0,Education,A,10000.0,7.88,0.0,0.02,2,N
2995,28.0,45100.0,Mortgage,2.0,Venture,A,6000.0,5.42,0.0,0.13,9,N
2996,23.0,85000.0,Mortgage,1.0,Venture,B,10000.0,10.36,0.0,0.12,4,N
2997,33.0,30000.0,Rent,0.0,Medical,A,5000.0,7.74,0.0,0.17,8,N
2998,27.0,98004.0,Rent,8.0,Homeimprovement,A,10000.0,6.54,0.0,0.1,10,N
2999,24.0,50000.0,Mortgage,8.0,Education,A,9600.0,6.99,0.0,0.19,3,N
3000,23.0,93000.0,Rent,6.0,Education,C,10000.0,14.26,0.0,0.11,2,N
3001,30.0,71000.0,Rent,8.0,Medical,B,8000.0,11.12,0.0,0.11,8,N
3002,42.0,54000.0,Rent,4.0,Debtconsolidation,C,16000.0,12.87,1.0,0.3,14,Y
3003,32.0,75000.0,Mortgage,16.0,Education,C,5000.0,12.61,0.0,0.07,10,Y
3004,39.0,70000.0,Rent,8.0,Medical,A,16000.0,7.9,0.0,0.23,14,N
3005,22.0,84000.0,Mortgage,0.0,Medical,A,10000.0,7.88,0.0,0.12,3,N
3006,26.0,62050.0,Rent,6.0,Medical,E,30000.0,17.99,1.0,0.41,2,N
3007,34.0,42000.0,Rent,5.0,Personal,A,18825.0,7.9,1.0,0.45,10,N
3008,26.0,75000.0,Mortgage,4.0,Homeimprovement,A,8000.0,13.49,0.0,0.05,7,N
3009,23.0,94000.0,Rent,7.0,Medical,B,3500.0,11.49,0.0,0.04,3,N
3010,38.0,151000.0,Mortgage,8.0,Debtconsolidation,A,35000.0,8.9,0.0,0.23,12,N
3011,22.0,38000.0,Mortgage,6.0,Debtconsolidation,A,8500.0,5.42,0.0,0.22,2,N
3012,26.0,125000.0,Mortgage,3.0,Education,D,24000.0,15.28,0.0,0.19,4,Y
3013,31.0,110000.0,Mortgage,2.0,Debtconsolidation,B,6000.0,9.51,0.0,0.05,9,N
3014,38.0,64700.0,Rent,5.0,Debtconsolidation,B,20000.0,11.11,1.0,0.31,13,N
3015,49.0,74880.0,Rent,6.0,Medical,A,14300.0,7.51,0.0,0.19,16,N
3016,38.0,30000.0,Rent,0.0,Education,B,5600.0,9.99,1.0,0.19,15,N
3017,32.0,27600.0,Rent,5.0,Medical,B,3000.0,11.12,1.0,0.11,8,N
3018,22.0,52000.0,Rent,6.0,Education,C,18000.0,11.0,1.0,0.35,4,N
3019,32.0,150000.0,Mortgage,11.0,Personal,A,20000.0,7.9,0.0,0.13,10,N
3020,28.0,55000.0,Mortgage,7.0,Personal,A,8000.0,11.0,0.0,0.15,9,N
3021,23.0,80000.0,Own,7.0,Venture,B,25000.0,9.99,0.0,0.31,3,N
3022,25.0,58650.0,Mortgage,4.0,Medical,D,20000.0,14.09,1.0,0.29,4,Y
3023,24.0,65000.0,Rent,5.0,Homeimprovement,A,11000.0,7.51,0.0,0.17,4,N
3024,32.0,108000.0,Rent,3.0,Homeimprovement,D,7000.0,16.29,1.0,0.06,6,Y
3025,22.0,36614.0,Rent,5.0,Medical,B,7000.0,9.99,1.0,0.19,4,N
3026,23.0,32000.0,Rent,3.0,Debtconsolidation,C,5000.0,14.79,0.0,0.16,2,N
3027,31.0,50000.0,Rent,4.0,Personal,D,6000.0,15.62,0.0,0.12,10,Y
3028,24.0,160000.0,Mortgage,3.0,Venture,D,20000.0,16.0,0.0,0.13,3,N
3029,21.0,9000.0,Rent,4.0,Homeimprovement,C,3000.0,15.23,1.0,0.33,4,N
3030,30.0,30000.0,Rent,1.0,Personal,B,14500.0,11.0,1.0,0.48,8,N
3031,45.0,64000.0,Mortgage,3.0,Personal,A,6000.0,7.29,0.0,0.09,12,N
3032,26.0,200000.0,Mortgage,4.0,Personal,C,3000.0,13.92,0.0,0.01,3,N
3033,34.0,85000.0,Mortgage,6.0,Homeimprovement,B,24000.0,11.49,0.0,0.28,7,N
3034,28.0,115000.0,Mortgage,2.0,Personal,B,18000.0,10.59,0.0,0.16,10,N
3035,33.0,58100.0,Rent,1.0,Debtconsolidation,C,17500.0,13.57,0.0,0.3,10,Y
3036,25.0,186000.0,Own,9.0,Venture,B,10000.0,10.25,0.0,0.05,4,N
3037,42.0,125000.0,Mortgage,5.0,Medical,A,35000.0,7.9,0.0,0.28,12,N
3038,35.0,45000.0,Own,6.0,Venture,D,10000.0,16.77,0.0,0.22,5,N
3039,21.0,18000.0,Rent,4.0,Debtconsolidation,A,8000.0,13.62,1.0,0.23,3,Y
3040,27.0,30548.0,Rent,0.0,Personal,A,14000.0,7.88,1.0,0.46,5,N
3041,31.0,78000.0,Rent,1.0,Debtconsolidation,A,14000.0,9.63,0.0,0.18,9,N
3042,22.0,21300.0,Rent,0.0,Debtconsolidation,C,6000.0,15.96,0.0,0.28,3,Y
3043,24.0,52000.0,Mortgage,3.0,Venture,A,3500.0,6.76,0.0,0.07,3,N
3044,24.0,60000.0,Own,9.0,Medical,B,15000.0,11.83,0.0,0.25,4,N
3045,29.0,30000.0,Rent,3.0,Education,E,10000.0,16.82,1.0,0.33,7,N
3046,29.0,50000.0,Rent,5.0,Debtconsolidation,C,6000.0,13.49,0.0,0.12,7,Y
3047,28.0,40000.0,Mortgage,12.0,Homeimprovement,A,15000.0,5.99,0.0,0.38,9,N
3048,23.0,68000.0,Rent,1.0,Education,B,7500.0,11.49,0.0,0.11,3,N
3049,28.0,140000.0,Rent,3.0,Education,B,12000.0,9.91,0.0,0.09,10,N
3050,66.0,42000.0,Rent,2.0,Medical,B,6475.0,9.99,0.0,0.15,30,N
3051,27.0,90000.0,Rent,0.0,Debtconsolidation,A,20000.0,6.54,0.0,0.22,9,N
3052,25.0,24000.0,Mortgage,0.0,Venture,D,1200.0,15.21,0.0,0.05,4,Y
3053,46.0,105000.0,Rent,4.0,Education,A,6000.0,7.14,0.0,0.06,16,N
3054,25.0,37500.0,Rent,1.0,Medical,C,10000.0,15.96,0.0,0.27,4,Y
3055,25.0,57000.0,Rent,9.0,Homeimprovement,C,1500.0,11.0,0.0,0.03,3,N
3056,23.0,32580.0,Rent,0.0,Personal,B,10000.0,11.14,1.0,0.31,3,N
3057,26.0,36000.0,Rent,10.0,Medical,A,6400.0,5.99,0.0,0.18,3,N
3058,28.0,65000.0,Mortgage,12.0,Education,B,24000.0,10.99,0.0,0.37,5,N
3059,33.0,20000.0,Rent,5.0,Education,A,3625.0,6.99,0.0,0.18,9,N
3060,22.0,48996.0,Other,3.0,Debtconsolidation,D,10000.0,14.11,1.0,0.2,4,N
3061,24.0,22000.0,Rent,0.0,Debtconsolidation,B,2500.0,9.76,0.0,0.11,2,N
3062,27.0,48996.0,Rent,3.0,Venture,B,12000.0,12.53,0.0,0.24,6,N
3063,26.0,37820.0,Mortgage,3.0,Debtconsolidation,A,6300.0,11.0,0.0,0.17,2,N
3064,36.0,37000.0,Mortgage,3.0,Personal,A,7000.0,6.91,0.0,0.19,13,N
3065,23.0,97000.0,Mortgage,5.0,Education,B,12000.0,9.91,0.0,0.12,2,N
3066,22.0,31200.0,Rent,2.0,Personal,B,1200.0,12.21,0.0,0.04,4,N
3067,24.0,62500.0,Mortgage,2.0,Venture,A,6000.0,5.79,0.0,0.1,2,N
3068,41.0,103000.0,Mortgage,2.0,Debtconsolidation,D,20000.0,14.61,1.0,0.19,16,Y
3069,39.0,37200.0,Rent,1.0,Education,C,5000.0,15.62,1.0,0.13,15,N
3070,23.0,48000.0,Rent,6.0,Venture,A,4800.0,7.9,0.0,0.1,3,N
3071,22.0,42000.0,Rent,4.0,Personal,C,8000.0,15.23,0.0,0.11,3,Y
3072,25.0,120000.0,Mortgage,9.0,Personal,C,25000.0,13.72,0.0,0.21,3,N
3073,25.0,43000.0,Rent,9.0,Medical,D,15000.0,15.57,1.0,0.35,3,N
3074,27.0,110004.0,Mortgage,5.0,Personal,C,25000.0,12.73,0.0,0.23,6,Y
3075,21.0,22000.0,Rent,4.0,Personal,B,5325.0,12.42,1.0,0.24,3,N
3076,33.0,116000.0,Mortgage,5.0,Education,C,15000.0,12.84,0.0,0.13,7,N
3077,22.0,58608.0,Rent,4.0,Personal,A,10000.0,7.51,0.0,0.17,4,N
3078,21.0,24000.0,Own,2.0,Personal,B,7000.0,11.86,0.0,0.29,3,N
3079,22.0,21600.0,Rent,1.0,Venture,B,9000.0,9.83,1.0,0.42,4,N
3080,50.0,116000.0,Mortgage,22.0,Personal,B,5000.0,10.25,0.0,0.04,17,N
3081,45.0,115000.0,Mortgage,8.0,Venture,A,8000.0,8.94,0.0,0.07,11,N
3082,32.0,50000.0,Mortgage,1.0,Medical,B,7500.0,10.39,0.0,0.15,7,N
3083,23.0,61000.0,Rent,2.0,Debtconsolidation,D,4000.0,16.0,1.0,0.07,4,Y
3084,42.0,38400.0,Rent,4.0,Medical,B,13000.0,11.0,1.0,0.34,17,N
3085,22.0,42000.0,Rent,0.0,Education,A,5000.0,8.9,0.0,0.12,4,N
3086,23.0,60000.0,Rent,1.0,Debtconsolidation,A,6000.0,11.0,0.0,0.1,2,N
3087,29.0,63600.0,Rent,5.0,Debtconsolidation,B,12000.0,12.42,1.0,0.19,8,N
3088,36.0,17640.0,Own,4.0,Homeimprovement,A,5875.0,7.9,1.0,0.33,12,N
3089,28.0,56000.0,Mortgage,5.0,Medical,C,5050.0,12.29,1.0,0.09,8,Y
3090,25.0,48000.0,Rent,0.0,Medical,C,12000.0,13.49,0.0,0.25,2,Y
3091,23.0,33195.0,Rent,5.0,Medical,B,1800.0,11.99,0.0,0.05,3,N
3092,30.0,114132.0,Mortgage,1.0,Debtconsolidation,D,14400.0,14.54,1.0,0.13,10,N
3093,36.0,63177.0,Mortgage,3.0,Medical,A,6250.0,7.49,0.0,0.1,12,N
3094,26.0,124500.0,Mortgage,10.0,Personal,B,6000.0,10.62,0.0,0.05,2,N
3095,37.0,30000.0,Rent,6.0,Personal,D,15000.0,11.0,1.0,0.5,12,N
3096,30.0,648000.0,Rent,4.0,Debtconsolidation,C,8000.0,12.73,0.0,0.01,10,Y
3097,26.0,55000.0,Rent,1.0,Education,D,16800.0,16.49,0.0,0.2,8,N
3098,36.0,48686.0,Rent,21.0,Venture,D,12000.0,13.99,0.0,0.25,11,N
3099,36.0,200000.0,Mortgage,8.0,Medical,A,14000.0,7.49,0.0,0.07,15,N
3100,41.0,85000.0,Rent,5.0,Personal,C,3000.0,13.49,0.0,0.04,17,N
3101,23.0,51036.0,Mortgage,7.0,Education,C,15000.0,13.16,0.0,0.29,4,N
3102,31.0,85000.0,Rent,6.0,Medical,B,22000.0,11.58,0.0,0.26,5,N
3103,28.0,65000.0,Mortgage,8.0,Education,D,3000.0,11.0,0.0,0.05,7,N
3104,24.0,30000.0,Mortgage,4.0,Medical,D,10000.0,15.99,1.0,0.33,2,Y
3105,22.0,45999.0,Rent,1.0,Venture,A,7300.0,7.88,0.0,0.16,2,N
3106,25.0,93000.0,Rent,3.0,Education,B,12000.0,11.0,0.0,0.13,3,N
3107,23.0,52000.0,Rent,3.0,Medical,C,7000.0,13.85,1.0,0.13,4,N
3108,34.0,90000.0,Mortgage,4.0,Debtconsolidation,A,9900.0,5.99,0.0,0.11,5,N
3109,23.0,39996.0,Rent,2.0,Education,B,18000.0,9.25,1.0,0.45,4,N
3110,37.0,55200.0,Rent,9.0,Medical,B,12000.0,11.71,0.0,0.22,15,N
3111,24.0,69000.0,Mortgage,9.0,Medical,A,7200.0,7.88,0.0,0.1,2,N
3112,32.0,195000.0,Rent,4.0,Debtconsolidation,C,1250.0,13.23,0.0,0.01,7,N
3113,46.0,60000.0,Rent,12.0,Debtconsolidation,B,11000.0,9.91,0.0,0.18,13,N
3114,30.0,64000.0,Rent,4.0,Debtconsolidation,B,10000.0,11.99,0.0,0.16,6,N
3115,23.0,45600.0,Own,7.0,Medical,B,1000.0,9.62,0.0,0.02,4,N
3116,22.0,16320.0,Rent,0.0,Homeimprovement,C,3000.0,13.92,1.0,0.18,4,Y
3117,25.0,32200.0,Rent,1.0,Venture,D,10000.0,16.77,1.0,0.31,4,Y
3118,34.0,51000.0,Mortgage,4.0,Personal,A,6400.0,11.0,0.0,0.13,6,N
3119,35.0,19820.0,Rent,0.0,Personal,B,4000.0,11.12,1.0,0.2,10,N
3120,25.0,107000.0,Mortgage,1.0,Medical,A,1000.0,7.4,0.0,0.01,4,N
3121,29.0,34444.0,Rent,5.0,Education,C,5600.0,13.49,0.0,0.16,7,Y
3122,24.0,85000.0,Own,4.0,Homeimprovement,D,6250.0,14.91,0.0,0.07,2,N
3123,40.0,52479.0,Rent,17.0,Personal,D,6600.0,14.54,1.0,0.13,13,N
3124,25.0,48000.0,Rent,9.0,Personal,B,4800.0,11.0,0.0,0.1,4,N
3125,23.0,150600.0,Mortgage,3.0,Education,A,2400.0,7.49,0.0,0.02,2,N
3126,26.0,220836.0,Mortgage,10.0,Venture,B,9000.0,11.26,0.0,0.04,3,N
3127,22.0,29004.0,Rent,0.0,Homeimprovement,D,1200.0,15.7,1.0,0.04,4,Y
3128,39.0,18300.0,Rent,0.0,Debtconsolidation,D,1200.0,14.74,1.0,0.07,11,Y
3129,23.0,100300.0,Rent,3.0,Medical,D,8400.0,14.84,1.0,0.07,2,N
3130,36.0,55000.0,Rent,6.0,Homeimprovement,B,10900.0,12.42,0.0,0.2,13,N
3131,23.0,61200.0,Rent,4.0,Medical,B,20000.0,11.14,1.0,0.28,2,N
3132,30.0,98000.0,Mortgage,12.0,Venture,B,12000.0,8.88,0.0,0.12,7,N
3133,23.0,60000.0,Rent,5.0,Venture,D,5000.0,16.49,0.0,0.08,2,Y
3134,38.0,33000.0,Rent,2.0,Venture,D,2000.0,16.89,1.0,0.06,14,N
3135,23.0,85000.0,Mortgage,7.0,Education,A,4000.0,5.79,0.0,0.05,3,N
3136,26.0,125000.0,Mortgage,10.0,Personal,A,10200.0,7.49,0.0,0.08,4,N
3137,28.0,61350.0,Rent,12.0,Debtconsolidation,C,7000.0,12.98,1.0,0.11,8,Y
3138,26.0,41892.0,Rent,8.0,Education,C,11300.0,13.22,0.0,0.27,4,N
3139,26.0,54000.0,Mortgage,9.0,Personal,A,10800.0,7.88,0.0,0.2,3,N
3140,30.0,115000.0,Rent,7.0,Debtconsolidation,B,7300.0,10.25,0.0,0.06,9,N
3141,26.0,27031.0,Rent,2.0,Venture,B,6000.0,9.99,0.0,0.22,4,N
3142,25.0,100000.0,Mortgage,9.0,Personal,A,4800.0,7.14,0.0,0.05,3,N
3143,22.0,73000.0,Mortgage,7.0,Venture,D,12000.0,16.89,0.0,0.16,2,Y
3144,22.0,90000.0,Rent,0.0,Education,A,8000.0,7.49,0.0,0.09,3,N
3145,27.0,100000.0,Rent,11.0,Medical,B,5000.0,12.42,0.0,0.05,8,N
3146,21.0,18000.0,Rent,1.0,Education,A,2000.0,5.42,0.0,0.11,3,N
3147,25.0,40000.0,Rent,9.0,Personal,B,13000.0,10.99,1.0,0.33,3,N
3148,37.0,52000.0,Mortgage,1.0,Venture,A,15000.0,11.0,0.0,0.29,14,N
3149,34.0,91800.0,Mortgage,0.0,Medical,F,25000.0,15.83,1.0,0.23,9,Y
3150,24.0,49639.0,Rent,8.0,Medical,C,10000.0,11.0,0.0,0.2,3,N
3151,22.0,12996.0,Own,1.0,Education,B,4750.0,11.0,1.0,0.37,3,N
3152,29.0,48000.0,Mortgage,13.0,Medical,A,4975.0,5.79,0.0,0.1,7,N
3153,30.0,100815.0,Rent,7.0,Medical,F,20000.0,18.3,1.0,0.17,6,Y
3154,27.0,51600.0,Rent,12.0,Education,A,6000.0,8.49,0.0,0.12,6,N
3155,22.0,60000.0,Mortgage,1.0,Personal,A,10000.0,5.42,0.0,0.17,2,N
3156,22.0,24000.0,Mortgage,2.0,Education,D,3975.0,13.87,0.0,0.17,3,N
3157,31.0,305000.0,Mortgage,0.0,Homeimprovement,D,35000.0,17.58,0.0,0.11,10,Y
3158,29.0,31100.0,Rent,2.0,Debtconsolidation,B,5000.0,9.63,0.0,0.16,8,N
3159,39.0,60000.0,Mortgage,1.0,Education,C,17000.0,14.65,0.0,0.28,14,Y
3160,23.0,75689.0,Mortgage,7.0,Debtconsolidation,B,25000.0,11.12,0.0,0.33,4,N
3161,24.0,47000.0,Mortgage,3.0,Homeimprovement,B,12000.0,12.21,0.0,0.26,4,N
3162,25.0,30000.0,Rent,4.0,Medical,B,5000.0,11.86,0.0,0.17,4,N
3163,24.0,72000.0,Rent,4.0,Medical,B,15000.0,10.99,0.0,0.21,4,N
3164,41.0,58000.0,Mortgage,12.0,Debtconsolidation,A,1800.0,7.51,0.0,0.03,12,N
3165,28.0,115000.0,Mortgage,8.0,Medical,A,28000.0,11.0,0.0,0.24,5,N
3166,22.0,48000.0,Rent,6.0,Medical,A,16500.0,8.9,1.0,0.34,4,N
3167,26.0,40000.0,Mortgage,5.0,Medical,A,16000.0,11.0,0.0,0.4,3,N
3168,24.0,189000.0,Mortgage,4.0,Education,A,5000.0,9.32,0.0,0.03,2,N
3169,24.0,43000.0,Mortgage,2.0,Debtconsolidation,B,3000.0,10.99,1.0,0.07,3,N
3170,25.0,130000.0,Mortgage,3.0,Homeimprovement,C,8000.0,13.49,0.0,0.06,4,N
3171,24.0,28500.0,Rent,3.0,Debtconsolidation,B,2500.0,11.36,0.0,0.09,4,N
3172,30.0,170000.0,Rent,14.0,Education,D,25000.0,15.2,0.0,0.15,8,N
3173,27.0,54216.0,Mortgage,4.0,Personal,A,9000.0,5.99,0.0,0.17,5,N
3174,26.0,55000.0,Own,10.0,Medical,B,8000.0,13.61,0.0,0.19,9,Y
3175,27.0,60174.0,Mortgage,11.0,Medical,B,3025.0,10.99,1.0,0.04,10,N
3176,36.0,136000.0,Mortgage,0.0,Education,C,4800.0,14.72,0.0,0.04,12,Y
3177,25.0,95000.0,Rent,9.0,Venture,A,24000.0,6.54,0.0,0.25,4,N
3178,32.0,54000.0,Mortgage,0.0,Debtconsolidation,A,5000.0,5.79,0.0,0.09,6,N
3179,26.0,65000.0,Mortgage,3.0,Homeimprovement,B,12000.0,10.99,0.0,0.18,4,N
3180,28.0,87000.0,Rent,7.0,Venture,B,6400.0,10.39,0.0,0.07,6,N
3181,29.0,40320.0,Rent,6.0,Medical,B,7800.0,8.88,0.0,0.19,10,N
3182,26.0,145992.0,Mortgage,0.0,Personal,D,20000.0,11.0,0.0,0.14,2,Y
3183,23.0,72324.0,Rent,7.0,Venture,B,12000.0,10.99,0.0,0.17,3,N
3184,29.0,92250.0,Rent,2.0,Medical,B,13000.0,10.99,0.0,0.14,9,N
3185,24.0,60000.0,Rent,1.0,Education,B,12000.0,10.99,0.0,0.2,4,N
3186,28.0,56864.0,Mortgage,5.0,Personal,A,12300.0,7.88,0.0,0.22,7,N
3187,40.0,33600.0,Rent,8.0,Education,E,19275.0,14.5,1.0,0.57,11,N
3188,26.0,37000.0,Mortgage,7.0,Education,B,8400.0,10.99,0.0,0.23,4,N
3189,24.0,52000.0,Rent,8.0,Education,D,20000.0,15.65,1.0,0.38,2,Y
3190,42.0,32000.0,Rent,5.0,Venture,B,10000.0,10.38,1.0,0.31,15,N
3191,26.0,60000.0,Mortgage,4.0,Education,B,7000.0,9.62,0.0,0.12,3,N
3192,32.0,107800.0,Own,3.0,Education,C,5200.0,14.65,0.0,0.05,8,Y
3193,33.0,66500.0,Mortgage,1.0,Personal,A,9200.0,11.0,0.0,0.14,7,N
3194,36.0,43000.0,Rent,6.0,Debtconsolidation,C,4000.0,13.92,0.0,0.09,14,Y
3195,22.0,75000.0,Mortgage,6.0,Education,A,10600.0,5.79,0.0,0.14,2,N
3196,35.0,87000.0,Rent,6.0,Venture,B,15000.0,11.0,0.0,0.17,7,N
3197,34.0,48000.0,Rent,4.0,Venture,B,3000.0,11.83,0.0,0.06,10,N
3198,26.0,39000.0,Rent,1.0,Venture,D,15000.0,16.07,1.0,0.38,4,Y
3199,24.0,80004.0,Rent,3.0,Education,A,10000.0,6.62,0.0,0.12,2,N
3200,28.0,66000.0,Rent,12.0,Debtconsolidation,D,10000.0,15.7,1.0,0.15,5,N
3201,25.0,25000.0,Rent,1.0,Debtconsolidation,B,1600.0,9.99,0.0,0.06,3,N
3202,22.0,64000.0,Mortgage,4.0,Personal,C,14000.0,13.23,0.0,0.22,3,Y
3203,30.0,49000.0,Mortgage,2.0,Personal,C,16000.0,13.49,1.0,0.33,7,N
3204,22.0,72000.0,Rent,0.0,Medical,A,8000.0,7.9,0.0,0.11,4,N
3205,39.0,29894.0,Own,23.0,Homeimprovement,B,8000.0,9.63,0.0,0.27,17,N
3206,21.0,56000.0,Mortgage,6.0,Medical,B,5600.0,10.37,0.0,0.1,4,N
3207,27.0,48000.0,Rent,0.0,Medical,B,10000.0,10.62,0.0,0.21,6,N
3208,23.0,150000.0,Mortgage,5.0,Venture,A,10000.0,7.14,0.0,0.07,4,N
3209,27.0,140000.0,Own,8.0,Personal,D,28000.0,15.65,0.0,0.2,5,N
3210,29.0,72500.0,Mortgage,2.0,Medical,C,7000.0,13.79,0.0,0.1,8,Y
3211,34.0,67392.0,Mortgage,0.0,Personal,C,15000.0,13.85,1.0,0.22,5,Y
3212,24.0,38400.0,Rent,6.0,Debtconsolidation,A,9000.0,7.9,0.0,0.23,2,N
3213,28.0,63000.0,Mortgage,0.0,Education,D,5000.0,13.67,0.0,0.08,7,Y
3214,23.0,28800.0,Rent,5.0,Education,B,2800.0,10.38,0.0,0.1,2,N
3215,23.0,51996.0,Mortgage,3.0,Personal,A,5000.0,6.92,0.0,0.1,3,N
3216,43.0,39996.0,Rent,1.0,Personal,B,4000.0,10.99,0.0,0.1,11,N
3217,34.0,128000.0,Own,0.0,Debtconsolidation,E,25000.0,17.39,1.0,0.2,5,N
3218,38.0,65000.0,Rent,6.0,Personal,C,7500.0,12.29,0.0,0.12,13,Y
3219,29.0,60000.0,Rent,4.0,Venture,B,8000.0,11.14,0.0,0.13,5,N
3220,28.0,60000.0,Mortgage,12.0,Medical,C,14400.0,13.49,0.0,0.24,7,N
3221,24.0,80000.0,Rent,0.0,Education,C,10000.0,11.0,0.0,0.13,4,Y
3222,27.0,128000.0,Rent,11.0,Debtconsolidation,D,24250.0,14.59,1.0,0.19,10,N
3223,69.0,24000.0,Rent,3.0,Medical,A,6000.0,6.62,0.0,0.25,23,N
3224,32.0,60000.0,Mortgage,15.0,Debtconsolidation,A,6000.0,7.14,0.0,0.1,9,N
3225,24.0,60000.0,Rent,0.0,Homeimprovement,A,1675.0,6.54,0.0,0.03,4,N
3226,26.0,37200.0,Mortgage,1.0,Personal,B,6000.0,10.36,0.0,0.16,2,N
3227,30.0,85000.0,Rent,5.0,Venture,D,5000.0,15.05,0.0,0.06,9,N
3228,22.0,22800.0,Mortgage,0.0,Education,A,3000.0,8.94,0.0,0.13,2,N
3229,21.0,32000.0,Rent,3.0,Education,A,5000.0,7.68,0.0,0.16,4,N
3230,31.0,80000.0,Mortgage,5.0,Venture,A,6000.0,7.4,0.0,0.07,9,N
3231,25.0,72000.0,Own,9.0,Venture,A,6000.0,7.14,0.0,0.08,4,N
3232,28.0,72000.0,Rent,0.0,Medical,A,6000.0,7.88,0.0,0.08,10,N
3233,31.0,45000.0,Rent,3.0,Debtconsolidation,B,8000.0,10.99,0.0,0.18,10,N
3234,24.0,40000.0,Rent,1.0,Venture,B,9000.0,11.99,0.0,0.23,4,N
3235,30.0,65000.0,Rent,3.0,Personal,C,10000.0,12.73,0.0,0.15,6,Y
3236,22.0,42996.0,Rent,3.0,Personal,C,15000.0,11.0,1.0,0.15,2,Y
3237,25.0,77004.0,Mortgage,2.0,Debtconsolidation,C,16000.0,13.92,0.0,0.21,2,N
3238,24.0,100000.0,Rent,5.0,Personal,A,10000.0,7.51,0.0,0.1,3,N
3239,25.0,27024.0,Rent,7.0,Education,E,2500.0,16.69,0.0,0.09,2,N
3240,25.0,125000.0,Mortgage,5.0,Homeimprovement,C,12000.0,11.0,0.0,0.1,3,Y
3241,22.0,36000.0,Mortgage,1.0,Medical,A,3500.0,11.0,0.0,0.1,2,N
3242,24.0,84000.0,Mortgage,8.0,Education,B,18000.0,9.99,0.0,0.21,2,N
3243,23.0,39000.0,Mortgage,0.0,Medical,D,8000.0,14.11,1.0,0.21,3,N
3244,28.0,30000.0,Rent,0.0,Medical,D,11500.0,14.46,1.0,0.38,5,Y
3245,25.0,42996.0,Own,1.0,Venture,D,7200.0,14.11,0.0,0.17,4,N
3246,23.0,75800.0,Rent,0.0,Education,A,7000.0,6.54,0.0,0.09,4,N
3247,22.0,42500.0,Rent,2.0,Debtconsolidation,B,5000.0,12.42,0.0,0.12,4,N
3248,22.0,57175.0,Rent,6.0,Education,F,16000.0,17.15,1.0,0.28,2,Y
3249,31.0,84000.0,Mortgage,3.0,Homeimprovement,G,25000.0,17.34,1.0,0.3,5,Y
3250,22.0,66000.0,Own,6.0,Education,A,5000.0,7.9,0.0,0.08,4,N
3251,36.0,30000.0,Rent,0.0,Venture,E,4000.0,17.99,1.0,0.13,15,N
3252,22.0,25000.0,Rent,0.0,Personal,A,10000.0,8.59,1.0,0.4,2,N
3253,49.0,28800.0,Mortgage,5.0,Medical,A,12000.0,11.0,0.0,0.42,16,N
3254,30.0,55000.0,Mortgage,0.0,Education,D,12000.0,13.55,0.0,0.22,5,N
3255,26.0,30000.0,Mortgage,4.0,Debtconsolidation,A,8000.0,6.62,1.0,0.27,4,N
3256,27.0,65000.0,Rent,9.0,Personal,A,4000.0,6.99,0.0,0.06,5,N
3257,30.0,57000.0,Rent,1.0,Medical,C,2500.0,11.0,0.0,0.04,9,N
